"charge_norm","code_type","statutory_code","literal_display","num_cases","pct_cases"
"PC148A1","PC","148(A)(1)","OBSTRUCT/ETC PUB OFCR/ETC",363,0.458333333333333
"WI5150","WI","5150","MNTLY DISORD 72 HR OB",160,0.202020202020202
"PC640C1","PC","640(C)(1)","FAIL PAY:PUB TRANSIT SYS",100,0.126262626262626
"PC243B","PC","243(B)","BATT PO/EMERG PRSNL/ETC",86,0.108585858585859
"PC69","PC","69","OBSTRUCT/RESIST EXEC OFF",68,0.0858585858585859
"PC647F","PC","647(F)","DISORD CONDUCT:UI/DRUG",53,0.0669191919191919
"PC1203.2A","PC","1203.2(A)","PROB VIOL:REAREST/REVOKE",46,0.0580808080808081
"HS11364A","HS","11364(A)","POSS UNLAW PARAPHERNALIA",42,0.053030303030303
"OUTSIDEWARRANT/M",NA,NA,NA,42,0.053030303030303
"PC148.9A","PC","148.9(A)","FALSE ID TO SPECIFIC PO'S",41,0.0517676767676768
"PC243.3","PC","243.3","BAT:TRANSPORT PERSONNEL",30,0.0378787878787879
"SUSCIRC",NA,NA,NA,29,0.0366161616161616
"OSCRM",NA,NA,NA,28,0.0353535353535354
"PC417A1","PC","417(A)(1)","EXHIBIT DEADWPN:NOT F/ARM",28,0.0353535353535354
"PC211","PC","211","ROBBERY",27,0.0340909090909091
"OUTSIDEWARRANT/F",NA,NA,NA,24,0.0303030303030303
"WEAPONINVOLVED",NA,NA,NA,23,0.029040404040404
"VIOLPROB/MISD","ZZ","VIOLPROB/MISD","VIOLATE PROBATION/MISD",19,0.023989898989899
"PC459","PC","459","BURGLARY",18,0.0227272727272727
"PC245A1","PC","245(A)(1)","FORCE/ADW NOT FIREARM:GBI",17,0.0214646464646465
"PC369IA","PC","369I(A)","TRESPASS:RAILROAD PROPRTY",17,0.0214646464646465
"PC369IB","PC","369I(B)","TRESPAS:RAIL TRANSIT PROP",17,0.0214646464646465
"PC422A","PC","422(A)","THREAT TO TERRORIZE",17,0.0214646464646465
"HS11377A","HS","11377(A)","POSS CONTROLLED SUBSTANCE",16,0.0202020202020202
"PC166A4","PC","166(A)(4)","CONTEMPT:DISOBEY CRT ORDR",15,0.0189393939393939
"PC487C","PC","487C","PETY THFT:CNVRT REAL PROP",13,0.0164141414141414
"PC243.35A","PC","243.35(A)","BATT PRSN:PUB TRANSP/ETC",11,0.0138888888888889
"PC241C","PC","241(C)","ASLT PO/FIREFIGHTER/ETC",10,0.0126262626262626
"PC243E1","PC","243(E)(1)","BAT:NONCOHAB X-SPOUSE/ETC",10,0.0126262626262626
"SUSCIRCWEAPONINVOLVED",NA,NA,NA,10,0.0126262626262626
"SUSPER",NA,NA,NA,10,0.0126262626262626
"HS11350A","HS","11350(A)","POSSESS NARCOTIC CNTL SUB",9,0.0113636363636364
"HS11351","HS","11351","POSSESS CNTL SUB FOR SALE",9,0.0113636363636364
"OUTSIDEWARR/M","ZZ","OUTSIDEWARR/M","OUTSIDE WARRANT/MIS",9,0.0113636363636364
"PC25400A2","PC","25400(A)(2)","CCW ON PERSON",9,0.0113636363636364
"PC496A","PC","496(A)","REC KNWN STOLN PROP",9,0.0113636363636364
"PC148.10A","PC","148.10(A)","RESIST PO:CAUSE DEATH/SBI",8,0.0101010101010101
"PC21310","PC","21310","CARRY CON/DIRK OR DAGGER",8,0.0101010101010101
"PC466","PC","466","POSSESS BURGLARY TOOLS",8,0.0101010101010101
"PC640B3","PC","640(B)(3)","PLAY SOUND EQUIP:PUB TRNS",8,0.0101010101010101
"SUSPERWEAPONINVOLVED",NA,NA,NA,8,0.0101010101010101
