"charge_norm","num_cases","pct_cases","type","code_type","statutory_code","stat_normed","cjis","literal_display","offense_descr"
"WI5150",160,1,"N","WI","5150","5150",66023,"MNTLY DISORD 72 HR OB","5150 WI-MENTAL DISORDER 72 HOUR OBSERVATION"
"PC148A1",20,0.125,"M","PC","148(A)(1)","148A1",48122,"OBSTRUCT/ETC PUB OFCR/ETC","148(A)(1) PC-OBSTRUCT/ETC PUBLIC OFFICER/ETC"
"PC243B",8,0.05,"M","PC","243(B)","243B",13081,"BATT PO/EMERG PRSNL/ETC","243(B) PC-BATTERY PEACE OFCR/EMERG PERSNL/ETC"
"PC1203.2A",5,0.03125,"X","PC","1203.2(A)","1203.2A",50126,"PROB VIOL:REAREST/REVOKE","1203.2(A) PC-PROBATION VIOL:REARREST/REVOKE"
"PC69",5,0.03125,"F","PC","69","69",48004,"OBSTRUCT/RESIST EXEC OFF","69 PC-OBSTRUCT/RESIST EXECUTIVE OFFICER"
"OUTSIDEWARRANT/M",4,0.025,NA,NA,NA,NA,NA,NA,NA
"PC369IA",4,0.025,"M","PC","369I(A)","369IA",32077,"TRESPASS:RAILROAD PROPRTY","369I(A) PC-TRESPASS:RAILROAD PROPERTY"
"PC369IB",4,0.025,"M","PC","369I(B)","369IB",32081,"TRESPAS:RAIL TRANSIT PROP","369I(B) PC-TRESPASS:RAIL TRANSIT PROPERTY"
"HS11364A",3,0.01875,"M","HS","11364(A)","11364A",35402,"POSS UNLAW PARAPHERNALIA","11364(A) HS-POSSESS UNLAW PARAPHERNALIA"
"HS11377A",2,0.0125,"F","HS","11377(A)","11377A",35172,"POSS CONTROLLED SUBSTANCE","11377(A) HS-POSSESS CONTROLLED SUBSTANCE"
"OUTSIDEWARRANT/F",2,0.0125,NA,NA,NA,NA,NA,NA,NA
"PC241C",2,0.0125,"M","PC","241(C)","241C",13207,"ASLT PO/FIREFIGHTER/ETC","241(C) PC-ASSAULT ON PO/FIREFIGHTER/ETC"
"PC243.3",2,0.0125,"M","PC","243.3","243.3",13108,"BAT:TRANSPORT PERSONNEL","243.3 PC-BATT ON TRANSPORTATION PERSONNEL"
"PC243C2",2,0.0125,"F","PC","243(C)(2)","243C2",13182,"BATTERY AGAINST PO","243(C)(2) PC-BATTERY AGAINST POLICE OFFICER"
"PC422A",2,0.0125,"F","PC","422(A)","422A",16002,"THREAT TO TERRORIZE","422(A) PC-THREATEN CRIME W/INTENT TO TERRORIZE"
"PC640C1",2,0.0125,"I","PC","640(C)(1)","640C1",66208,"FAIL PAY:PUB TRANSIT SYS","640(C)(1) PC-FAIL PAY FARE:PUB TRANSIT SYSTEM"
"SUSCIRC",2,0.0125,NA,NA,NA,NA,NA,NA,NA
